event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
MD_high_night_20240805_0300,high_night,MD,2024-08-05T07:00:00Z,53.47426,53.47426,53.47426,0,0.134215,0.13384,81.922,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240812_0600,high_night,MD,2024-08-12T10:00:00Z,74.8977,74.8977,74.8977,1.75E-05,0.10234,NA,119.49,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240812_0630,high_night,MD,2024-08-12T10:30:00Z,68.6375,68.6375,68.6375,0.0778629,0.049694,NA,123.324,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20240821_0700,high_night,MD,2024-08-21T11:00:00Z,53.2852,53.2852,53.2852,1.57751,0.0529794,NA,36.7881,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240920_2230,high_night,MD,2024-09-21T02:30:00Z,55.5149,55.5149,55.5149,0,0.0171666,NA,189.051,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20241017_0100,high_night,MD,2024-10-17T05:00:00Z,55.82938,55.82938,55.82938,0.00323197,0.0345819,NA,180.165,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20241117_2230,high_night,MD,2024-11-18T03:30:00Z,70.2241,70.2241,70.2241,7.93E-04,0.146894,NA,257.151,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20241119_0500,high_night,MD,2024-11-19T10:00:00Z,60.5683,60.5683,60.5683,0,0.735753,0.131541,123.185,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20241215_0700,high_night,MD,2024-12-15T12:00:00Z,72.3778,72.3778,72.3778,0,0.579381,NA,112.931,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20241215_0830,high_night,MD,2024-12-15T13:30:00Z,61.50302,61.50302,61.50302,1.39709,0.441815,NA,125.934,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable period
MD_high_night_20241226_2300,high_night,MD,2024-12-27T04:00:00Z,50.92413,50.92413,50.92413,0,0.403771,NA,145.215,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20241227_1930,high_night,MD,2024-12-28T00:30:00Z,70.09878,70.09878,70.09878,0,0.545746,NA,124.05,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
MD_high_night_20241228_0800,high_night,MD,2024-12-28T13:00:00Z,57.2216,57.2216,57.2216,0.0516784,0.620752,0.0150415,229.372,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20241230_0200,high_night,MD,2024-12-30T07:00:00Z,51.81464,51.81464,51.81464,0,0.560138,NA,311.609,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
