event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee
MD_high_night_20240417_0430,high_night,MD,2024-04-17T08:30:00Z,60.8558,60.8558,60.8558,0,0.652374,0.457748,109.28,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240419_0400,high_night,MD,2024-04-19T08:00:00Z,51.074400000000004,51.074400000000004,51.074400000000004,0,0.152579,0.0701662,301.113,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240427_0600,high_night,MD,2024-04-27T10:00:00Z,67.82916,67.82916,67.82916,0,0.440933,0.0802021,150.506,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240429_1330,high_day,MD,2024-04-29T17:30:00Z,76.39671,76.39671,76.39671,638.601,0.57838,0.396924,234.977,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240503_0230,high_night,MD,2024-05-03T06:30:00Z,94.86110000000001,94.86110000000001,94.86110000000001,0,0.4376,0.13625,206.463,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240510_0400,high_night,MD,2024-05-10T08:00:00Z,57.82982,57.82982,57.82982,0,0.0692739,0.0168719,98.0021,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240511_0200,high_night,MD,2024-05-11T06:00:00Z,66.9339,66.9339,66.9339,0,0.448558,0.0945491,280.534,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240520_1900,high_night,MD,2024-05-20T23:00:00Z,70.38130000000001,70.38130000000001,70.38130000000001,8.42534,0.627106,0.14837799999999998,187.281,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240527_0200,high_night,MD,2024-05-27T06:00:00Z,55.762280000000004,55.762280000000004,55.762280000000004,0,0.42101,NA,150.052,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240622_1630,high_day,MD,2024-06-22T20:30:00Z,121.07079999999999,121.07079999999999,121.07079999999999,86.7461,0.481999,0.027552700000000003,241.411,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240623_0430,high_night,MD,2024-06-23T08:30:00Z,74.961,74.961,74.961,0,0.622193,NA,235.616,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
