Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2025-06-24,2025,70,-207.21946513092192,-209.03947140950132,633.8793773856964,706.4169307837129,426.6599122547746,497.3774593742117,-1.820006278579399,72.53755339801648,70.71754711943709
2025-06-25,2025,71,-206.40191306706706,-212.90047323102456,641.74386377104,719.903240422407,435.34195070397294,507.0027671913824,-6.498560163957507,78.15937665136698,71.66081648740948
2025-06-26,2025,72,-211.70268049299247,-219.13064905403772,656.0830419004078,735.9810778485484,444.3803614074154,516.8504287945107,-7.4279685610452475,79.89803594814055,72.47006738709524
2025-06-27,2025,73,-215.30626724420304,-223.18175127741372,669.5097468541796,750.0536121086104,454.20347960997674,526.8718608311967,-7.875484033210682,80.54386525443078,72.66838122121999
2025-06-28,2025,74,-218.0244984122402,-227.64248260679875,682.2445441202533,764.1060848775039,464.2200457080132,536.4636022707051,-9.617984194558545,81.86154075725062,72.24355656269194
2025-06-29,2025,75,-222.3904069012171,-232.38026732902193,696.9421421326715,778.2537553224013,474.5517352314545,545.8734879933793,-9.989860427804842,81.31161318972977,71.32175276192481
2025-06-30,2025,76,-226.2135309427531,-238.3523056131328,710.7121956832677,793.136094672674,484.49866474051476,554.7837890595412,-12.138774670379718,82.42389898940621,70.28512431902641
2025-07-01,2025,77,-230.95956749212758,-242.3911374551381,724.9618566282684,805.5747180742919,494.0022891361409,563.1835806191539,-11.431569963010531,80.61286144602354,69.18129148301296
2025-07-02,2025,78,-236.1372579716803,-247.7237583945365,739.086102975249,818.692016866793,502.94884500356886,570.9682584722566,-11.586500422856204,79.60591389154399,68.01941346868773
2025-07-03,2025,79,-239.92088670767583,-252.95133351670827,750.9696513013444,830.8085694081885,511.0487645936687,577.8572358914803,-13.03044680903244,79.83891810684418,66.8084712978116
2025-07-04,2025,80,-245.1286724187263,-260.7834415294325,763.4353423287736,844.7225431291267,518.3066699100474,583.9391015996943,-15.654769110706184,81.28720080035316,65.63243168964686
2025-07-05,2025,81,-250.4672357812004,-267.317532366961,775.2785260053994,856.9918987576808,524.8112902241991,589.6743663907198,-16.850296585760617,81.71337275228143,64.86307616652073
2025-07-06,2025,82,-255.52019135700647,-273.207433500488,785.5017387311038,868.1104395215044,529.9815473740974,594.9030060210165,-17.687242143481512,82.60870079040058,64.92145864691906
2025-07-07,2025,83,-259.12729995637295,-278.92226213876,793.4329468463593,878.3820040522681,534.3056468899864,599.4597419135082,-19.794962182387053,84.94905720590884,65.15409502352179
2025-07-08,2025,84,-265.36387585617825,-285.74954629426816,804.0045008164662,889.7241110759549,538.640624960288,603.9745647816868,-20.385670438089903,85.7196102594886,65.33393982139876
2025-07-09,2025,85,-269.5977315234419,-291.1355526545941,812.8850316395963,899.9191958534373,543.2873001161545,608.7836431988433,-21.537821131152214,87.034164213841,65.49634308268878
